,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income
0,57,616,2,1,3,-153263.20075894924,0.23,42658.02
1,45,591,1,1,1,161474.30730573952,0.24,248327.61
2,59,613,1,1,1,14209.331170472313,0.09,24371.94
3,62,656,1,1,1,-77270.8971615558,0.17,48788.04
4,45,567,2,1,5,282353.1824904715,0.22,47808.66
5,40,300,1,1,1,186133.53589746484,0.12,31875.4
6,35,318,1,1,1,101335.18715003086,0.03,31627.77
7,57,545,1,1,1,-129635.97651341364,0.08,90134.48
8,44,316,1,1,1,-164230.28973520375,0.29,153383.25
9,54,538,2,1,5,-100385.68158060308,0.23,30736.38
10,40,316,1,1,1,-256997.4062920032,0.12,46493.72
11,61,621,2,1,3,16199.820562777051,0.25,125928.79
12,46,591,1,1,1,43015.849398840575,0.24,81370.26
13,58,613,1,1,1,-177223.18834805524,0.12,61418.26
14,40,644,3,1,5,16123.378077014168,0.25,45892.81
15,45,644,2,1,5,144259.26616964306,0.18,29561.58
16,48,352,1,1,1,-122897.38481720704,0.17,109107.45
17,62,619,1,1,1,3663.075987899144,0.03,187001.88
18,44,300,1,1,1,489740.55883946974,0.35,28075.64
19,52,587,1,1,1,68323.38367680064,0.35,39124.78
20,57,561,1,1,1,-39909.54341443597,0.22,63026.22
21,56,561,1,1,1,15876.285102139278,0.23,123495.81
22,47,308,1,1,1,481647.3761496623,0.12,62843.4
23,42,617,2,1,3,273340.95536635723,0.24,20743.65
24,42,286,1,1,1,32885.36982068384,0.04,58682.2
25,41,346,1,1,1,-92628.20629301402,0.19,173856.79
26,36,308,1,1,1,-17091.54788181004,0.01,68757.75
27,49,308,1,1,1,51771.2351944449,0.17,39639.95
28,37,310,1,1,1,99042.6361841256,0.13,79011.7
29,41,288,1,1,1,-48963.55036090561,0.19,91329.38
30,37,321,1,1,1,200707.69335155596,0.01,47179.61
31,41,339,1,1,1,-170263.2794560638,0.16,18738.56
32,57,578,1,1,1,103153.5479678066,0.07,7661.9
33,52,331,1,1,1,47346.89854924133,0.34,144416.22
34,62,656,1,1,1,-250673.97571426656,0.22,41928.62
35,53,621,3,1,1,-192482.046027303,0.1,27982.2
36,46,660,3,1,3,228424.97414615643,0.02,34971.71
37,36,318,1,1,1,-117105.97405042702,0.04,187300.95
38,36,562,1,1,1,248088.42173158744,0.14,31657.03
39,53,587,3,1,5,-29999.525192713496,0.12,211309.96
40,44,647,1,1,1,-145485.470259673,0.16,51887.25
41,52,551,1,1,1,38423.50199144202,0.32,68751.27
